Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
Data Science for Business: What you need to know about data mining and data-analytic thinking,"['Foster Provost', 'Tom Fawcett']",2013,13,4.16,"1,643"
Data Smart: Using Data Science to Transform Information into Insight,['John W. Foreman'],2013,15,4.15,863
Data Science from Scratch: First Principles with Python,['Joel Grus'],2015,20,3.93,690
Doing Data Science,"['Rachel Schutt', ""Cathy O'Neil""]",2013,9,3.72,496
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","['Hadley Wickham', 'Garrett Grolemund']",2016,13,4.60,540
Numsense! Data Science for the Layman: No Math Added,"['Annalyn Ng', 'Kenneth Soo']",0,6,4.15,419
Python Data Science Handbook: Tools and Techniques for Developers,['Jake Vanderplas'],2016,8,4.31,293
What Is Data Science?,['Mike Loukides'],2011,7,3.69,556
Computer Science With C++ Concepts File Handling Data Structures - Vol. I and II,['Sumita Arora'],0,1,4.12,507
Building Data Science Teams,['D.J. Patil'],2011,5,3.66,294
Data Science,"['John D. Kelleher', 'Brendan Tierney']",0,5,3.99,334
The Art of Data Science: A Guide for Anyone Who Works with Data,"['Roger D. Peng', 'Elizabeth Matsui']",2015,2,3.78,179
Data Science for Executives: Leveraging Machine Intelligence to Drive Business ROI,['Nir Kaldero'],0,2,3.84,37
"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science","['Bradley Efron', 'Trevor Hastie']",0,4,4.43,82
Practical Data Science with R,"['Nina Zumel', 'John Mount']",2014,2,4.13,78
Uncharted: Big Data and an Emerging Science of Human History,"['Erez Aiden', 'Jean-Baptiste Michel']",2013,5,3.73,623
"Humanizing Big Data: Marketing at the Meeting of Data, Social Science & Consumer Insight",['Colin Strong'],2014,1,3.74,35
Data Science For Dummies,['Lillian Pierson'],2014,13,3.40,149
R Programming for Data Science,['Roger D. Peng'],2015,3,3.64,139
Ethics and Data Science,"['Mike Loukides', 'Hilary Mason', 'Dj Patil']",0,4,4.22,85
Agile Data Science: Building Data Analytics Applications with Hadoop,['Russell Jurney'],2012,7,3.28,67
The Data Science Handbook,"['Carl Shan', 'Henry Wang', 'William Chen']",2015,1,3.94,69
How Data Science Is Transforming Health Care,"['Mike Loukides', ""Tim O'Reilly"", 'Julie Steele']",2012,6,3.49,111
Think Like a Data Scientist: Tackle the data science process step-by-step,['Brian Godsey'],0,1,3.83,47
Data Science with R,['Garrett Grolemund'],2015,1,4.57,82
"Analytics: Data Science, Data Analysis and Predictive Analytics for Business",['Daniel Covington'],0,3,3.15,55
"Data Science from Scratch with Python: Step-by-Step Beginner Guide for Statistics, Machine Learning, Deep learning and NLP using Python, Numpy, Pandas, Scipy, Matplotlib, Sciki-Learn, TensorFlow",['Peter Morgan'],0,2,4.08,24
Football Hackers: The Science and Art of a Data Revolution,['Christoph Biermann'],0,4,4.32,347
Practical Data Science Cookbook,"['Tony Ojeda', 'Sean Patrick Murphy', 'Benjamin Bengfort']",2014,4,3.83,36
Data Science at the Command Line: Facing the Future with Time-Tested Tools,['Jeroen Janssens'],2014,7,3.85,112
R for Data Science,"['Garrett Grolemund', 'Hadley Wickham']",0,2,4.76,46
Python for Data Science For Dummies,"['John Paul Mueller', 'Luca Massaron']",2015,9,4.26,27
The Data Science Handbook: Advice and Insights from 25 Amazing Data Scientists,"['Carl Shan', 'William Chen', 'Henry Wang']",2015,1,4.12,24
The Data Science Design Manual,['Steven Skiena'],0,3,4.71,21
"Data Analytics: Applicable Data Analysis to Advance Any Business Using the Power of Data Driven Analytics (Big Data Analytics, Data Science, Business Intelligence Book 6)",['Jeff Reed'],0,1,3.47,30
Data Analytics: What Every Business Must Know About Big Data And Data Science,['James Smith'],0,2,4.12,43
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",['EMC Education Services'],2014,5,3.93,43
Getting Started with Data Science: Making Sense of Data with Analytics,['Murtaza Haider'],2015,5,4.41,22
Malware Data Science: Attack Detection and Attribution,"['Joshua Saxe', 'Hillary Sanders']",0,2,3.93,14
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",['Matt Taddy'],0,3,4.33,9
A Simple Introduction to Data Science,"['Lars Nielsen', 'noreen burlingame']",2012,2,3.47,73
Data Science on the Google Cloud Platform: Implementing End-To-End Real-Time Data Pipelines: From Ingest to Machine Learning,['Valliappa Lakshmanan'],0,6,4.10,29
Agile Data Science 2.0: Building Full-Stack Data Analytics Applications with Spark,['Russell Jurney'],0,6,3.59,37
Analytics in a Big Data World: The Essential Guide to Data Science and Its Applications,['Bart Baesens'],2014,6,3.61,38
The Data Science Handbook,['Field Cady'],0,4,3.93,27
"Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python, Theano, and TensorFlow",['Lazy Programmer'],0,2,3.42,31
Foundations of Data Science,"['Avrim Blum', 'John Hopcroft', 'Ravindran Kannan']",0,6,4.00,11
Big Data MBA: Driving Business Strategies with Data Science,['Bill Schmarzo'],2016,5,3.83,42
Python Data Science Essentials - Learn the fundamentals of Data Science with Python,"['Alberto Boschetti', 'Luca Massaron']",2015,6,3.90,41
"Data Analytics: Practical Guide to Leveraging the Power of Algorithms, Data Science, Data Mining, Statistics, Big Data, and Predictive Analysis to Improve Business, Work, and Life",['Arthur Zhang'],0,2,3.24,17
"Fraud Analytics Using Descriptive, Predictive, and Social Network Techniques: A Guide to Data Science for Fraud Detection (Wiley and SAS Business Series)","['Bart Baesens', 'Veronique Van Vlasselaer', 'Wouter Verbeke']",2015,5,3.92,38
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,['Alex Gorelik'],0,6,3.76,37
100 Questions to Crack Data Science Interview,['TheDataMonk'],0,1,4.00,20
An Introduction to Data Science,['Jeffrey M. Stanton'],0,2,3.19,27
"Python: 4 Books in 1: Ultimate Beginner's Guide, 7 Days Crash Course, Advanced Guide, and Data Science, Learn Computer Programming and Machine Learning with Step-by-Step Exercises",['John Russel'],0,1,4.00,2
Executive Data Science,"['Brian Caffo', 'Roger D. Peng', 'Jeffrey Leek']",0,1,3.52,29
"Learning to Love Data Science: Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization",['Mike Barlow'],2015,6,3.51,39
"Data Science from Scratch: The #1 Data Science Guide for Everything A Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Tree",['Steven Cooper'],0,2,2.64,22
Statistical inference for data science,['Brian Caffo'],2015,1,3.11,28
Markov Models: Master Data Science and Unsupervised Machine Learning in Python,['LazyProgrammer'],0,1,3.78,23
"Data Science From Scratch: First Principles with Python, Second Edition",['Joel Grus'],0,2,3.71,7
Data Science from Scratch with Python: A Step By Step Guide for Beginner's and Faster Way To Learn Python In 7 Days & NLP using Advanced,['Richard Wilson'],0,2,4.50,2
Machine Learning: The Art and Science of Algorithms That Make Sense of Data,['Peter Flach'],2012,8,3.98,127
The Field Guide to Data Science,['Booz Allen Hamilton'],2013,2,3.61,28
Python Data Science Cookbook,['Gopi Subramanian'],0,5,3.50,12
Principles of Data Science: Learn the techniques and math you need to start making sense of your data,['Sinan Ozdemir'],0,3,4.20,20
Introduction to Data Science: Essential Concepts,['Peters Morgan'],0,2,4.20,10
